File,Mask,Dataset,labels_symmetry
ISIC_0033947.jpg,ISIC_0033947.png,HAM10000,0
ISIC_0027180.jpg,ISIC_0027180.png,HAM10000,1
ISIC_0028550.jpg,ISIC_0028550.png,HAM10000,0
ISIC_0033659.jpg,ISIC_0033659.png,HAM10000,2
ISIC_0028748.jpg,ISIC_0028748.png,HAM10000,0
ISIC_0032565.jpg,ISIC_0032565.png,HAM10000,1
ISIC_0033970.jpg,ISIC_0033970.png,HAM10000,1
ISIC_0029354.jpg,ISIC_0029354.png,HAM10000,0
ISIC_0033241.jpg,ISIC_0033241.png,HAM10000,0
ISIC_0029931.jpg,ISIC_0029931.png,HAM10000,1
ISIC_0026506.jpg,ISIC_0026506.png,HAM10000,2
ISIC_0028621.jpg,ISIC_0028621.png,HAM10000,0
ISIC_0030847.jpg,ISIC_0030847.png,HAM10000,0
ISIC_0033500.jpg,ISIC_0033500.png,HAM10000,0
ISIC_0028973.jpg,ISIC_0028973.png,HAM10000,0
ISIC_0029126.jpg,ISIC_0029126.png,HAM10000,0
ISIC_0026583.jpg,ISIC_0026583.png,HAM10000,2
ISIC_0024847.jpg,ISIC_0024847.png,HAM10000,1
ISIC_0027583.jpg,ISIC_0027583.png,HAM10000,1
ISIC_0027193.jpg,ISIC_0027193.png,HAM10000,1
ISIC_0024670.jpg,ISIC_0024670.png,HAM10000,1
ISIC_0033804.jpg,ISIC_0033804.png,HAM10000,0
ISIC_0030093.jpg,ISIC_0030093.png,HAM10000,0
ISIC_0032889.jpg,ISIC_0032889.png,HAM10000,2
ISIC_0025097.jpg,ISIC_0025097.png,HAM10000,0
ISIC_0031345.jpg,ISIC_0031345.png,HAM10000,2
ISIC_0026686.jpg,ISIC_0026686.png,HAM10000,1
ISIC_0028433.jpg,ISIC_0028433.png,HAM10000,2
ISIC_0024778.jpg,ISIC_0024778.png,HAM10000,1
ISIC_0029782.jpg,ISIC_0029782.png,HAM10000,0
ISIC_0033991.jpg,ISIC_0033991.png,HAM10000,1
ISIC_0026141.jpg,ISIC_0026141.png,HAM10000,1
ISIC_0031084.jpg,ISIC_0031084.png,HAM10000,0
ISIC_0030293.jpg,ISIC_0030293.png,HAM10000,2
ISIC_0034069.jpg,ISIC_0034069.png,HAM10000,1
ISIC_0030861.jpg,ISIC_0030861.png,HAM10000,1
ISIC_0032156.jpg,ISIC_0032156.png,HAM10000,0
ISIC_0030769.jpg,ISIC_0030769.png,HAM10000,2
ISIC_0030420.jpg,ISIC_0030420.png,HAM10000,1
ISIC_0033822.jpg,ISIC_0033822.png,HAM10000,2
ISIC_0029367.jpg,ISIC_0029367.png,HAM10000,2
ISIC_0031341.jpg,ISIC_0031341.png,HAM10000,1
ISIC_0033132.jpg,ISIC_0033132.png,HAM10000,2
ISIC_0033813.jpg,ISIC_0033813.png,HAM10000,0
ISIC_0032030.jpg,ISIC_0032030.png,HAM10000,0
ISIC_0028532.jpg,ISIC_0028532.png,HAM10000,2
ISIC_0026612.jpg,ISIC_0026612.png,HAM10000,2
ISIC_0026625.jpg,ISIC_0026625.png,HAM10000,0
ISIC_0028048.jpg,ISIC_0028048.png,HAM10000,2
ISIC_0032336.jpg,ISIC_0032336.png,HAM10000,2
ISIC_0024489.jpg,ISIC_0024489.png,HAM10000,0
ISIC_0025468.jpg,ISIC_0025468.png,HAM10000,1
ISIC_0031996.jpg,ISIC_0031996.png,HAM10000,2
ISIC_0024420.jpg,ISIC_0024420.png,HAM10000,0
ISIC_0033962.jpg,ISIC_0033962.png,HAM10000,2
ISIC_0034124.jpg,ISIC_0034124.png,HAM10000,0
ISIC_0030050.jpg,ISIC_0030050.png,HAM10000,0
ISIC_0030081.jpg,ISIC_0030081.png,HAM10000,0
ISIC_0026025.jpg,ISIC_0026025.png,HAM10000,0
ISIC_0032605.jpg,ISIC_0032605.png,HAM10000,1
ISIC_0030478.jpg,ISIC_0030478.png,HAM10000,2
ISIC_0025559.jpg,ISIC_0025559.png,HAM10000,1
ISIC_0031827.jpg,ISIC_0031827.png,HAM10000,0
ISIC_0033612.jpg,ISIC_0033612.png,HAM10000,1
ISIC_0027008.jpg,ISIC_0027008.png,HAM10000,0
ISIC_0029646.jpg,ISIC_0029646.png,HAM10000,2
ISIC_0025411.jpg,ISIC_0025411.png,HAM10000,0
ISIC_0029584.jpg,ISIC_0029584.png,HAM10000,2
ISIC_0033671.jpg,ISIC_0033671.png,HAM10000,1
ISIC_0028146.jpg,ISIC_0028146.png,HAM10000,2
ISIC_0029339.jpg,ISIC_0029339.png,HAM10000,0
ISIC_0024493.jpg,ISIC_0024493.png,HAM10000,0
ISIC_0029072.jpg,ISIC_0029072.png,HAM10000,0
ISIC_0026327.jpg,ISIC_0026327.png,HAM10000,0
ISIC_0031079.jpg,ISIC_0031079.png,HAM10000,0
ISIC_0029592.jpg,ISIC_0029592.png,HAM10000,2
ISIC_0027762.jpg,ISIC_0027762.png,HAM10000,1
ISIC_0029389.jpg,ISIC_0029389.png,HAM10000,2
ISIC_0027558.jpg,ISIC_0027558.png,HAM10000,2
ISIC_0025612.jpg,ISIC_0025612.png,HAM10000,2
ISIC_0024865.jpg,ISIC_0024865.png,HAM10000,1
ISIC_0030320.jpg,ISIC_0030320.png,HAM10000,2
ISIC_0025430.jpg,ISIC_0025430.png,HAM10000,2
ISIC_0033697.jpg,ISIC_0033697.png,HAM10000,1
